barrsmith,65.84,15000,0,310878,342.855,0
biscuitbookbox,98.58,2734.4,0,55501,322044,0
biscuitbook,102.32,15000,0,355342,51532.3,0
biscuit,133.44,1887.28,0,44537,169.006,0
boardgame,76.76,15000,0,331919,288529,50
bonython,56.4,15000,0,286733,19.9771,0
book,103,238,0,4483,58.7565,0
breadcartoychips,64.78,15000,0,299770,999689,50
breadtoycar,52.7,15000,0,263059,2.22623e+06,31
breadtoy,154,494.36,0,11989,786.484,0
carchipscube,58.92,3480.6,0,67261,36013.3,0
cubebreadtoychips,109.04,5942.98,0,140815,1.10794e+06,39
cubetoy,90.96,3670.36,0,74037,2215.75,12
elderhallb,130,438,0,10608,92.3226,0
gamebiscuit,127.98,2705.04,0,70083,422.279,0
game,66.68,15000,0,308926,32.3583,0
hartley,125.42,2970.14,0,84376,120.337,0
johnsona,288,38,0,1424,1438.52,0
johnsonb,550,11,0,1000,4068.82,0
ladysymon,157,83,0,2453,105.27,0
library,94.44,948.2,0,20669,70.4851,0
napiera,116.56,4013.8,0,92679,112.104,0
napierb,143,238,0,5538,655.679,0
neem,138,249,0,6111,681.672,0
nese,161,77,0,1897,125.013,0
oldclassicswing,255,45,0,1665,193.407,0
physics,55.04,690.84,0,10201,82.5837,0
sene,131,453,0,10740,51.0312,0
toycubecar,75.62,1710.78,0,32077,207194,0
unihouse,1808,7,0,1946,263.223,0
unionhouse,93.26,15000,0,367299,24.515,0
