RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 50
Threshold for each image = 3
Desired probability for each image = 0.95
Standard LO = 1
Graph Cut LO = 0
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails
barrsmith,75,68.16,7.36334,72,15000,0,15000,3.82,106.248,95,299465,5139,297698,871.732,3629.21,167.79,48,25700.4,0
biscuitbookbox,162,98.48,4.072,96,2867.14,874.299,3256,3.34,180.621,164.5,67195,18765,74358,214672,82494.6,229965,91,280322,0
biscuitbook,179,102.06,1.77752,102,15000,0,15000,6.5,198.314,181.5,357652,10244,356627,139370,174416,58158.9,98,759871,0
biscuit,146,145.84,2.35918,146,928.94,226.628,859,4.42,88.5166,78.5,27020,5525,25663,82.0435,55.1548,67.5674,136,403.03,0
boardgame,166,78.64,2.64776,78,15000,0,15000,2.54,193.808,178,343779,14503,340635,310785,95096.5,355131,74,477963,47
bonython,52,56.66,1.22241,57,15000,0,15000,1.84,105.906,91.5,291048,13629,285852,40.8342,60.3812,18.2766,54,389.331,0
book,105,102.02,3.43743,103,190.04,13.5194,193,1.88,107.093,91,7974,1446,7498,72.1514,37.5077,53.8554,91,183.165,0
breadcartoychips,155,70.52,2.54943,71,15000,0,15000,3.18,186.375,167.5,310819,17828,306009,976480,55177.6,990706,61,1.03578e+06,50
breadtoycar,110,54.4,2.10926,55,12698,4386.16,15000,3.8,187.051,182.5,231790,78524,266079,1.58091e+06,1.03413e+06,1.26662e+06,46,5.21687e+06,10
breadtoy,182,136.48,9.8421,132,650.92,243.549,742,1.8,110.305,85,21850,6161,21672,98815.2,133619,35461.4,125,390002,0
carchipscube,105,59.6,3.8119,60,3353.34,714.371,3561,2.98,137.521,133.5,65615,13019,67691,27270.4,41646.1,18827.1,51,229910,6
cubebreadtoychips,239,118.98,7.07825,120,8202.2,4424.18,5542,5.92,345.363,343,207136,105008,145875,1.10791e+06,29796.6,1.10798e+06,87,1.16825e+06,23
cubetoy,150,103.84,3.38279,103,1393.84,214.666,1338.5,2.34,163.12,135.5,34427,4925,34041,1969.95,182.543,1891.43,101,2421.88,0
elderhallb,133,133.4,0.571429,133,283.96,3.83837,283,1.98,95.2719,96.5,11687,362,11593,53.9519,6.4192,55.6763,132,73.1398,0
gamebiscuit,161,142,0,142,785,0,785,1.96,159.409,165.5,28120,2251,28715,214.497,9.24822e-05,214.497,142,214.497,0
game,63,68.34,1.95469,68.5,15000,0,15000,3.44,156.918,171,305176,3835,304733,35.7687,12.8514,30.1428,59,83.4645,0
hartley,123,125.58,2.00092,125,2128.76,284.118,2098.5,1.76,142.401,105,61116,8818,59447,122.287,8.12611,123.208,120,138.973,0
johnsona,295,288,0,288,16,0,16,1.8,90.558,95,7326,838,7351,1444.47,0.000616548,1444.47,288,1444.47,0
johnsonb,571,550,0,550,7,0,7,1.9,90.6224,90,11476,734,11434,4084.61,1.12875,4084.77,550,4084.77,0
ladysymon,160,159.2,1.44279,160,47.12,3.54355,45,1.54,97.0769,83.5,6066,1706,5632,85.4031,7.6098,82.9076,154,104.143,0
library,96,96.92,0.274048,97,789.8,16.4429,785,1.9,105.946,96,20779,1082,20317,63.6038,4.24113,61.502,96,73.2435,0
napiera,112,118.64,0.721676,119,2424.84,522.148,2285,1.82,208.489,186.5,63786,12654,59821,36.2804,10.2425,39.1933,116,60.3888,0
napierb,157,143.3,0.614452,143,179.26,3.99392,180,1.82,95.0659,97.5,9191,379,9146,695.323,10.2328,699.252,143,704.757,0
neem,153,141.6,1.01015,142,123.78,5.82847,120,1.84,97.3286,87,7937,1515,7440,668.404,19.1147,676.212,138,706.24,0
nese,169,163.56,3.2335,165,65.5,20.3252,55,2.7,130.337,134.5,8691,1928,9296,113.379,25.8055,106.583,149,224.861,0
oldclassicswing,256,257.94,0.239898,258,42.06,0.239898,42,1.6,68.8151,68.5,6349,746,6265,164.85,2.45915,164.235,257,174.486,0
physics,58,56.42,2.25053,57,284.34,134.734,228,1.96,100.205,91.5,7581,2439,6458,104.251,152.468,37.8997,51,431.47,0
sene,132,130.78,1.55563,131,250.14,29.2742,246,3.74,172.384,187.5,13174,2147,13964,47.0207,17.829,41.7784,120,167.967,0
toycubecar,128,80.2,2.49898,81,1431.7,248.804,1411,3.88,208.586,193,35424,4826,36937,240383,39189.9,222157,75,354909,0
unihouse,1739,1804,0,1804,6,0,6,1.9,93.1166,95,32779,1884,32957,183.428,0.79781,183.572,1804,183.572,0
unionhouse,78,96.28,5.13904,98,15000,0,15000,3.78,241.158,196,373638,7024,372311,25.2346,16.5625,21.3893,82,107.917,0
