RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 50
Threshold for each image = 3
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails
barrsmith,75,62.64,6.66627,62,15000,0,15000,1.22,86.0997,82,300269,4723,299236,1083.53,2064.58,218.591,51,8050.63,0
biscuitbookbox,162,99.44,1.68014,100,2458.96,328.231,2340,2.06,177.642,172,62702,7491,59433,250046,48737.7,261568,94,277085,0
biscuitbook,179,102.64,2.55359,103,15000,0,15000,2.06,130.233,124,360010,10266,357373,86249.6,140573,42103.7,98,743485,0
biscuit,146,145.74,2.1553,146,866.02,56.129,859,2.4,99.6421,100,28111,1989,27801,66.6655,8.57985,63.6057,140,99.3338,0
boardgame,166,77.38,3.59075,78,15000,0,15000,3.64,136.906,124,351379,22772,346473,273377,102675,265922,71,469222,47
bonython,52,56.34,2.3089,56,15000,0,15000,2.02,100.202,92.5,288355,8372,286122,24.7616,29.8935,16.1121,50,132.348,0
book,105,100.82,2.65491,102,232.8,26.4483,255,2.4,99.9771,100,10619,1365,10676,71.2256,34.3732,51.9046,90,177.87,0
breadcartoychips,155,66.42,4.6427,66.5,15000,0,15000,2.44,110.25,103,308000,15053,302654,1.00472e+06,88444,989106,58,1.17897e+06,50
breadtoycar,110,52.06,3.15847,51.5,15000,0,15000,1.74,89.5512,83,264141,3573,263719,3.12889e+06,1.91079e+06,1.45101e+06,42,6.17902e+06,38
breadtoy,182,147.32,7.30513,151,418.94,193.566,330,2,168.123,160,21284,4875,19804,4931.05,16553.5,807.897,127,99530.9,0
carchipscube,105,58.78,4.50075,60.5,3726.02,705.423,4006,3.26,134.973,142,74684,12532,78467,15433.2,7607.59,11368.1,48,32999.1,6
cubebreadtoychips,239,116.98,7.72087,119,3325.72,1740.06,2655,1.6,160.121,131,87822,42153,71260,1.10743e+06,18035.6,1.09997e+06,100,1.15748e+06,27
cubetoy,150,101.98,6.80183,102,2009.94,614.805,1905,3.22,186.204,162,51940,14012,50470,2438.64,467.551,2350.35,83,3414.6,0
elderhallb,133,131.46,1.92947,132,312.88,28.6354,307,0.84,90.5048,82,14489,1688,14324,69.6675,21.5809,58.0048,127,123.395,0
gamebiscuit,161,138.84,5.91215,139,1242.18,505.952,1137,2.04,147.011,144,43284,12942,41548,256.954,55.0976,242.883,120,442.309,0
game,63,66.68,2.77334,67,15000,0,15000,1.62,109.034,102,309959,4600,309174,38.9214,18.6321,30.9375,61,90.5637,0
hartley,123,121.58,4.59854,123,3187.44,501.902,3044,1.2,125.042,120,92719,14009,90727,144.353,52.7516,123.179,112,267.174,0
johnsona,295,288,0,288,19.16,4.55067,17,1.6,54.5138,40,6022,1012,5555,1442.89,4.2688,1444.47,288,1448.56,0
johnsonb,571,550,0,550,7.14,0.35051,7,0.8,50.8025,40,8560,1224,8330,4079.45,4.94718,4080.31,550,4084.77,0
ladysymon,160,155.88,4.57429,157,55.8,16.7161,51,0.8,60.0435,60,6105,1201,5887,168.009,325.071,92.431,136,1824.54,0
library,96,95.22,0.736511,95,1183.8,230.014,1138,0.8,83.8505,81,31277,6201,29901,67.6499,12.6636,59.1477,94,94.5644,0
napiera,112,113.68,4.22548,113,3115.98,490.262,3103,2.94,130.209,120.5,81277,12901,80180,90.3349,43.3126,90.3563,105,289.083,0
napierb,157,142.86,3.40474,144,207.58,27.0103,204,2,89.1364,80,11317,2209,10999,718.168,35.9754,722.369,128,862.637,0
neem,153,139.86,2.72561,141,168.08,33.2073,158,2,116.468,100,11609,2597,11594,681.369,35.9951,665.667,133,806.071,0
nese,169,165.34,0.478518,165,58.62,2.76929,59,2.4,110.59,100,9302,1558,8850,69.554,8.89752,65.4549,165,117.531,0
oldclassicswing,256,256.66,1.17125,256,43.78,1.94086,43,2.82,87.7977,81,9596,1696,8944,163.187,5.84412,163.218,254,179.017,0
physics,58,57.62,1.06694,58,238.68,43.5011,228,1.68,66.0489,64,8148,1157,7874,56.0469,6.88347,55.5938,55,69.4118,0
sene,132,130.66,2.05645,131,263.34,15.5309,260,1.2,116.178,100.5,14118,2540,13444,54.4045,25.1488,44.597,124,145.608,0
toycubecar,128,85.86,4.44472,88,1182.82,215.734,1194,2,142.797,130.5,31183,4825,30633,266218,11746.5,273300,67,288403,0
unihouse,1739,1807.46,2.76428,1809,6,0,6,1.6,85.7333,80,29393,2976,28389,206.427,15.6418,210.519,1802,229.245,0
unionhouse,78,92.1,4.36241,91,15000,0,15000,0.84,127.858,112,374832,5181,374182,25.562,9.17988,21.0782,86,51.7619,0
