RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 50
Threshold for each image = 3
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 0
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails
barrsmith,75,65.84,6.90862,68,15000,0,15000,0,0,0,310878,20110,309631,342.855,465.951,177.226,47,1822.98,0
biscuitbookbox,162,98.58,0.672795,98,2734.4,363.778,2696,0,0,0,55501,7259,53968,322044,47190,326024,98,420412,0
biscuitbook,179,102.32,2.7363,102,15000,0,15000,0,0,0,355342,11786,352550,51532.3,16184.5,45884.3,98,91639.1,0
biscuit,146,133.44,15.5867,142,1887.28,485.307,1926,0,0,0,44537,11531,45982,169.006,137.126,86.6418,110,376.092,0
boardgame,166,76.76,2.6845,77,15000,0,15000,0,0,0,331919,15188,327620,288529,101621,264621,70,494423,50
bonython,52,56.4,1.2289,56,15000,0,15000,0,0,0,286733,11048,284508,19.9771,27.169,8.97867,55,96.2203,0
book,105,103,0,103,238,0,238,0,0,0,4483,142,4442,58.7565,3.46808e-05,58.7565,103,58.7565,0
breadcartoychips,155,64.78,3.00537,65,15000,0,15000,0,0,0,299770,5490,298726,999689,79518.1,998608,59,1.13958e+06,50
breadtoycar,110,52.7,2.95027,54,15000,0,15000,0,0,0,263059,6463,261418,2.22623e+06,1.63455e+06,1.36829e+06,47,5.57556e+06,31
breadtoy,182,154,0,154,494.36,59.6698,442,0,0,0,11989,1836,11141,786.484,18.9959,803.153,154,803.153,0
carchipscube,105,58.92,1.19249,58,3480.6,651.765,3172,0,0,0,67261,15806,58391,36013.3,18336.8,36905.6,58,62702.2,0
cubebreadtoychips,239,109.04,9.07556,102,5942.98,2531.26,5416,0,0,0,140815,58982,127994,1.10794e+06,19712.5,1.10187e+06,99,1.14551e+06,39
cubetoy,150,90.96,11.2956,96,3670.36,1052.55,3438,0,0,0,74037,22018,70185,2215.75,530.842,1992.05,74,3195.5,12
elderhallb,133,130,0,130,438,0,438,0,0,0,10608,304,10493,92.3226,3.08274e-05,92.3226,130,92.3226,0
gamebiscuit,161,127.98,9.92727,122,2705.04,480.05,2712,0,0,0,70083,12751,69531,422.279,72.9346,435.094,119,499.151,0
game,63,66.68,1.46301,66,15000,0,15000,0,0,0,308926,8840,305760,32.3583,9.90421,28.8631,64,53.836,0
hartley,123,125.42,2.51599,125,2970.14,739.06,2709,0,0,0,84376,22388,73330,120.337,18.5989,114.637,112,241.669,0
johnsona,295,288,0,288,38,0,38,0,0,0,1424,148,1395,1438.52,0.000246619,1438.52,288,1438.52,0
johnsonb,571,550,0,550,11,0,11,0,0,0,1000,198,891,4068.82,0.00271281,4068.82,550,4068.82,0
ladysymon,160,157,0,157,83,0,83,0,0,0,2453,432,2240,105.27,3.08274e-05,105.27,157,105.27,0
library,96,94.44,0.501427,94,948.2,35.0999,979,0,0,0,20669,1405,20841,70.4851,3.74625,73.7723,94,73.7723,0
napiera,112,116.56,3.64865,119,4013.8,1213.97,4530,0,0,0,92679,27250,104378,112.104,146.356,50.5318,109,443.746,0
napierb,157,143,0,143,238,0,238,0,0,0,5538,97,5521,655.679,0.000246619,655.679,143,655.679,0
neem,153,138,0,138,249,0,249,0,0,0,6111,151,6108,681.672,0.000184964,681.672,138,681.672,0
nese,169,161,0,161,77,0,77,0,0,0,1897,25,1887,125.013,3.85343e-05,125.013,161,125.013,0
oldclassicswing,256,255,0,255,45,0,45,0,0,0,1665,55,1649,193.407,1.54137e-05,193.407,255,193.407,0
physics,58,55.04,3.1749,57,690.84,46.7164,662,0,0,0,10201,890,9650,82.5837,55.2681,48.4644,50,170.319,0
sene,132,131,0,131,453,0,453,0,0,0,10740,211,10720,51.0312,1.92671e-05,51.0312,131,51.0312,0
toycubecar,128,75.62,5.97918,81,1710.78,332.386,1987,0,0,0,32077,6206,36772,207194,13394.2,214884,66,231310,0
unihouse,1739,1808,0,1808,7,0,7,0,0,0,1946,184,1881,263.223,9.24822e-05,263.223,1808,263.223,0
unionhouse,78,93.26,4.07987,93,15000,0,15000,0,0,0,367299,11664,363353,24.515,7.74405,24.0141,87,45.8517,0
