barrsmith,67.56,14740.6,2.3,87855,921.402,0
biscuitbookbox,89.46,4882.98,2.74,32290,350773,0
biscuitbook,101.18,12759.1,2.1,68699,221470,0
biscuit,147.24,507.92,1.68,10234,68.856,0
boardgame,78.62,14458.3,5.48,87782,343970,47
bonython,55.96,14330.4,3.3,78244,48.5365,0
book,103.06,191.92,2.16,7421,60.4076,0
breadcartoychips,26.3,14763.3,0,78817,-nan,50
breadtoycar,51.88,7602.74,6.72,52612,3.20327e+06,25
breadtoy,129.94,798.54,1.98,10441,183646,0
carchipscube,55.4,6284.2,3.66,36983,400514,10
cubebreadtoychips,108.22,7148.1,5.94,46421,1.4387e+06,41
cubetoy,72.3,11300.2,3.36,65448,1.37871e+06,29
elderhallb,133.22,286.52,2.4,9822,55.2419,0
gamebiscuit,0,15000.9,0,71172,-nan,50
game,0,15001.4,0,74938,-nan,50
hartley,124.08,2460.48,1.82,20884,154.301,0
johnsona,288,15.1,2.1,11048,1444.47,0
johnsonb,550,11,2.4,17558,4084.44,0
ladysymon,159.3,50.24,2.04,7510,88.4681,0
library,96.82,760.68,2.2,12036,64.3559,0
napiera,115.88,3035.58,2.32,29686,76.1209,0
napierb,143.44,178.3,2.38,8226,695.879,0
neem,141.58,125.04,2.14,7855,668.438,0
nese,163.62,64.58,3.86,11475,100.367,0
oldclassicswing,257.9,42.24,1.64,9274,164.762,0
physics,55.62,295.94,2.06,7122,131.354,0
sene,131.08,246.54,2.18,9823,44.1496,0
toycubecar,82.04,1451.88,3.48,16463,220770,0
unihouse,0,15000,0,78071,-nan,50
unionhouse,93.32,14897.5,2.2,85703,40.9588,0
