barrsmith,62.64,15000,1.22,300269,1083.53,0
biscuitbookbox,99.44,2458.96,2.06,62702,250046,0
biscuitbook,102.64,15000,2.06,360010,86249.6,0
biscuit,145.74,866.02,2.4,28111,66.6655,0
boardgame,77.38,15000,3.64,351379,273377,47
bonython,56.34,15000,2.02,288355,24.7616,0
book,100.82,232.8,2.4,10619,71.2256,0
breadcartoychips,66.42,15000,2.44,308000,1.00472e+06,50
breadtoycar,52.06,15000,1.74,264141,3.12889e+06,38
breadtoy,147.32,418.94,2,21284,4931.05,0
carchipscube,58.78,3726.02,3.26,74684,15433.2,6
cubebreadtoychips,116.98,3325.72,1.6,87822,1.10743e+06,27
cubetoy,101.98,2009.94,3.22,51940,2438.64,0
elderhallb,131.46,312.88,0.84,14489,69.6675,0
gamebiscuit,138.84,1242.18,2.04,43284,256.954,0
game,66.68,15000,1.62,309959,38.9214,0
hartley,121.58,3187.44,1.2,92719,144.353,0
johnsona,288,19.16,1.6,6022,1442.89,0
johnsonb,550,7.14,0.8,8560,4079.45,0
ladysymon,155.88,55.8,0.8,6105,168.009,0
library,95.22,1183.8,0.8,31277,67.6499,0
napiera,113.68,3115.98,2.94,81277,90.3349,0
napierb,142.86,207.58,2,11317,718.168,0
neem,139.86,168.08,2,11609,681.369,0
nese,165.34,58.62,2.4,9302,69.554,0
oldclassicswing,256.66,43.78,2.82,9596,163.187,0
physics,57.62,238.68,1.68,8148,56.0469,0
sene,130.66,263.34,1.2,14118,54.4045,0
toycubecar,85.86,1182.82,2,31183,266218,0
unihouse,1807.46,6,1.6,29393,206.427,0
unionhouse,92.1,15000,0.84,374832,25.562,0
