barrsmith,55.98,15001.3,0,76643,3824.72,0
biscuitbookbox,92,3990,0,19542,169769,0
biscuitbook,100.64,12344,0,59862,88131.9,0
biscuit,130.36,3991.52,0,19876,391.826,0
boardgame,73.66,15001.4,0,75421,366964,50
bonython,55.22,14890.4,0,72990,102.917,0
book,81,1171,0,5792,240.576,0
breadcartoychips,22.28,15001.3,0,75277,-nan,50
breadtoycar,48.76,15000.8,0,76013,1.72783e+06,50
breadtoy,122,1320,0,6276,79486.6,0
carchipscube,41.68,15001,0,71356,37624.9,50
cubebreadtoychips,98.62,9728.28,0,47164,1.01669e+06,50
cubetoy,56.8,15001.4,0,75218,1.06496e+06,50
elderhallb,107,615,0,2972,327.789,0
gamebiscuit,0,15001.1,0,69246,-nan,50
game,10.24,15000.2,0,73767,-nan,42
hartley,123.4,2601.4,0,11948,123.986,0
johnsona,288,121,0,829,1437.64,0
johnsonb,550,26,0,564,4022.71,0
ladysymon,130,323,0,1519,2448.97,0
library,94,2498,0,11916,94.0991,0
napiera,109.32,7443.18,0,35559,313.564,0
napierb,138,226,0,1137,722.304,0
neem,136,170,0,1069,733.819,0
nese,160,70,0,579,159.998,0
oldclassicswing,254,41,0,506,151.237,0
physics,47.4,819.6,0,4683,190.241,0
sene,123,1012,0,5444,161.801,0
toycubecar,74.12,2179.16,0,11105,259541,0
unihouse,0,15000.6,0,63752,-nan,50
unionhouse,83.8,15001.2,0,70661,50.4889,0
