RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Line2d_estimator_Uniform_sampler
Runs for each image = 50
Threshold for each image = 10
Desired probability for each image = 0.99
Standard LO = 0
Graph Cut LO = 0
SPRT = 1


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg time (mcs),Std dev time,Med time,Num fails
w=1000_h=1000_n=3.000000_I=200_N=10200,411.6 / 200,45.3454,433,2627.66,784.211,2735,35968,16196,33538,0
w=1000_h=1000_n=3.000000_I=500_N=10500,673.78 / 500,89.4959,701,1572.16,791.637,1509.5,19897,12188,18334,0
w=1000_h=1200_n=3.000000_I=200_N=10200,378.54 / 200,46.3902,405.5,3195.32,703.665,3221.5,37798,14281,36827,0
w=1000_h=1200_n=3.000000_I=500_N=10500,702.12 / 500,82.6733,726,1312.82,718.587,1167,13619,4886,13574,0
w=1200_h=1000_n=3.000000_I=200_N=10200,439.08 / 200,50.0358,447.5,1805.06,557.304,1740.5,17544,8257,15683,0
w=1200_h=1000_n=3.000000_I=500_N=10500,473.16 / 500,167.658,372,2733.8,586.194,2770,31064,11966,32853,0
w=1200_h=1200_n=3.000000_I=200_N=10200,367.6 / 200,38.5375,384.5,3308,939.242,3215.5,39504,17702,40159,0
w=1200_h=1200_n=3.000000_I=500_N=10500,665 / 500,84.6108,689,1434.56,906.621,1096,12047,7018,10739,0
