RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Line2d_estimator_Uniform_sampler
Runs for each image = 50
Threshold for each image = 10
Desired probability for each image = 0.99
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg time (mcs),Std dev time,Med time,Num fails
w=1000_h=1000_n=3.000000_I=200_N=10200,439.76 / 200,2.57587,440,2506.56,88.8018,2483,228320,23511,225989,0
w=1000_h=1000_n=3.000000_I=500_N=10500,701.98 / 500,2.73667,701,1026.78,12.2696,1027,145167,30017,144457,0
w=1000_h=1200_n=3.000000_I=200_N=10200,405.94 / 200,3.48999,405,2864.96,69.3883,2856,266013,34405,264002,0
w=1000_h=1200_n=3.000000_I=500_N=10500,725.64 / 500,2.95379,726,967.22,9.80897,966,145572,26049,145893,0
w=1200_h=1000_n=3.000000_I=200_N=10200,457.24 / 200,7.21552,458,2269.66,85.8598,2259.5,230112,28404,224439,0
w=1200_h=1000_n=3.000000_I=500_N=10500,723 / 500,1.51186,723,981.7,11.7078,981,148902,28991,147156,0
w=1200_h=1200_n=3.000000_I=200_N=10200,385.26 / 200,2.79803,386,3193.48,73.0823,3177,287643,29877,283524,0
w=1200_h=1200_n=3.000000_I=500_N=10500,689.26 / 500,1.42585,689,1060.9,11.6851,1059,145789,22510,144411,0
