RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Line2d_estimator_Napsac_sampler
Runs for each image = 50
Threshold for each image = 10
Desired probability for each image = 0.99
Standard LO = 1
Graph Cut LO = 0
SPRT = 0


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg time (mcs),Std dev time,Med time,Num fails
w=1000_h=1000_n=3.000000_I=200_N=10200,441.24 / 200,2.105,441,2607.62,60.595,2611,191805,5688,192664,0
w=1000_h=1000_n=3.000000_I=500_N=10500,702.52 / 500,3.37603,701,1337.4,300.287,1217,94548,20081,87222,0
w=1000_h=1200_n=3.000000_I=200_N=10200,409.38 / 200,3.69716,410,2953.66,106.797,2927,188596,7752,186732,0
w=1000_h=1200_n=3.000000_I=500_N=10500,723.54 / 500,3.01161,723,1387.54,365.432,1210.5,97176,23952,88733,0
w=1200_h=1000_n=3.000000_I=200_N=10200,453.76 / 200,7.06691,452,2650.58,236.651,2565.5,171765,15193,168127,0
w=1200_h=1000_n=3.000000_I=500_N=10500,721.02 / 500,1.42127,721,1056.84,27.3476,1052,71137,2775,70589,0
w=1200_h=1200_n=3.000000_I=200_N=10200,384.9 / 200,2.42647,386,3472.04,204.527,3440,222064,14155,220281,0
w=1200_h=1200_n=3.000000_I=500_N=10500,689.4 / 500,2.01018,689,1379.04,310.361,1255.5,94889,20296,87895,0
