RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Line2d_estimator_Uniform_sampler
Runs for each image = 50
Threshold for each image = 10
Desired probability for each image = 0.99
Standard LO = 1
Graph Cut LO = 0
SPRT = 0


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg time (mcs),Std dev time,Med time,Num fails
w=1000_h=1000_n=3.000000_I=200_N=10200,439.82 / 200,2.25597,440,2608.42,61.4077,2617,174151,7018,174082,0
w=1000_h=1000_n=3.000000_I=500_N=10500,702.76 / 500,3.45561,702,1187.14,92.7551,1151,85245,8218,82819,0
w=1000_h=1200_n=3.000000_I=200_N=10200,409.96 / 200,2.59481,409.5,2954.14,151.055,2918,194252,9872,192470,0
w=1000_h=1200_n=3.000000_I=500_N=10500,724.64 / 500,2.81222,725,1156.82,106.753,1141,87084,9815,85341,0
w=1200_h=1000_n=3.000000_I=200_N=10200,454.58 / 200,8.4879,453.5,2511.28,119.195,2526,169966,10983,169309,0
w=1200_h=1000_n=3.000000_I=500_N=10500,721.82 / 500,1.4665,721,1062.64,35.6415,1054,74013,5000,72266,0
w=1200_h=1200_n=3.000000_I=200_N=10200,385.14 / 200,2.27686,386,3473.12,329.775,3388,225002,23105,217953,0
w=1200_h=1200_n=3.000000_I=500_N=10500,689.34 / 500,2.12478,690,1239.14,107.679,1212,88745,8959,86571,0
