RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Line2d_estimator_Napsac_sampler
Runs for each image = 50
Threshold for each image = 10
Desired probability for each image = 0.99
Standard LO = 0
Graph Cut LO = 0
SPRT = 1


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg time (mcs),Std dev time,Med time,Num fails
w=1000_h=1000_n=3.000000_I=200_N=10200,400.96 / 200,52.9705,433,2697.62,739.595,2705,32703,12816,33816,0
w=1000_h=1000_n=3.000000_I=500_N=10500,623.02 / 500,125.945,701,1943.86,758.609,2087,23010,8815,23482,0
w=1000_h=1200_n=3.000000_I=200_N=10200,366.4 / 200,52.8984,402,3377.24,900.821,3278.5,35246,12609,36203,0
w=1000_h=1200_n=3.000000_I=500_N=10500,687.7 / 500,109.302,727,1613.7,811.306,1520,10828,5076,9630,0
w=1200_h=1000_n=3.000000_I=200_N=10200,442.88 / 200,35.8697,450.5,2136.34,580.478,1974,18579,7430,18233,0
w=1200_h=1000_n=3.000000_I=500_N=10500,409 / 500,108.128,368,2943.92,700.263,2996,26831,7734,27510,0
w=1200_h=1200_n=3.000000_I=200_N=10200,362.74 / 200,43.4792,386,3363.48,1042.76,3291.5,36101,15415,37586,0
w=1200_h=1200_n=3.000000_I=500_N=10500,645.7 / 500,112.117,689,1751.22,1116.36,1532.5,14045,8352,11020,0
