RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Line2d_estimator_Napsac_sampler
Runs for each image = 50
Threshold for each image = 10
Desired probability for each image = 0.99
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg time (mcs),Std dev time,Med time,Num fails
w=1000_h=1000_n=3.000000_I=200_N=10200,439.9 / 200,3.56428,439.5,2549.3,245.341,2472.5,253743,37941,252570,0
w=1000_h=1000_n=3.000000_I=500_N=10500,703.02 / 500,3.43743,702,1086.74,271.588,1029.5,170268,43657,161979,0
w=1000_h=1200_n=3.000000_I=200_N=10200,405.52 / 200,11.1323,406,2914.84,243.297,2869.5,274881,35473,271358,0
w=1000_h=1200_n=3.000000_I=500_N=10500,724.82 / 500,3.04182,725,1018.24,190.674,972.5,151110,33672,148926,0
w=1200_h=1000_n=3.000000_I=200_N=10200,457.8 / 200,6.91051,458.5,2312.72,151.232,2314,226208,30338,224753,0
w=1200_h=1000_n=3.000000_I=500_N=10500,722.54 / 500,1.43157,722,1079.04,255.909,995,159144,38331,160650,0
w=1200_h=1200_n=3.000000_I=200_N=10200,385.76 / 200,1.76774,386,3232.6,117.046,3219.5,285243,28077,284213,0
w=1200_h=1200_n=3.000000_I=500_N=10500,689.64 / 500,1.4535,689,1076.24,69.5981,1063.5,156569,28128,148579,0
