RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Line2d_estimator_Uniform_sampler
Runs for each image = 50
Threshold for each image = 10
Desired probability for each image = 0.99
Standard LO = 1
Graph Cut LO = 1
SPRT = 1


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg time (mcs),Std dev time,Med time,Num fails
w=1000_h=1000_n=3.000000_I=200_N=10200,432.72 / 200,28.3513,440,2204.5,731.779,2014,92172,30298,88809,0
w=1000_h=1000_n=3.000000_I=500_N=10500,687.42 / 500,68.6033,701.5,1203.26,754.86,854.5,81786,27118,83984,0
w=1000_h=1200_n=3.000000_I=200_N=10200,398.28 / 200,33.1207,408,2522.42,906.777,2366,92894,28626,88121,0
w=1000_h=1200_n=3.000000_I=500_N=10500,720.18 / 500,40.4034,726,975.28,451.69,793.5,75105,27863,80217,0
w=1200_h=1000_n=3.000000_I=200_N=10200,452.38 / 200,18.4766,454.5,1849.2,547.734,1789.5,82157,24779,78788,0
w=1200_h=1000_n=3.000000_I=500_N=10500,721.26 / 500,1.42585,721,883.46,140.052,849,62392,19939,60475,0
w=1200_h=1200_n=3.000000_I=200_N=10200,367.42 / 200,39.6032,384,3127.6,1341.65,2710.5,108698,30694,106209,0
w=1200_h=1200_n=3.000000_I=500_N=10500,689.74 / 500,1.74742,690,1171.5,751.951,881,88336,31795,80326,0
