RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Line2d_estimator_Prosac_sampler
Runs for each image = 50
Threshold for each image = 10
Desired probability for each image = 0.99
Standard LO = 1
Graph Cut LO = 0
SPRT = 0


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg time (mcs),Std dev time,Med time,Num fails
w=1000_h=1000_n=3.000000_I=200_N=10200,437.04 / 200,19.7018,440,55.5,23.414,55,7328,3128,7098,0
w=1000_h=1000_n=3.000000_I=500_N=10500,655.98 / 500,135.642,701,26.54,3.81838,26,3885,588,3736,3
w=1000_h=1200_n=3.000000_I=200_N=10200,407.48 / 200,17.9935,410,42.5,14.472,41.5,5518,1830,5624,0
w=1000_h=1200_n=3.000000_I=500_N=10500,686.12 / 500,128.067,722,27.04,7.35391,26,3922,918,3835,1
w=1200_h=1000_n=3.000000_I=200_N=10200,439.98 / 200,43.8013,451,75,26.6113,71.5,8960,3165,8436,0
w=1200_h=1000_n=3.000000_I=500_N=10500,672.66 / 500,148.353,721,26,0,26,3602,214,3574,5
w=1200_h=1200_n=3.000000_I=200_N=10200,380.38 / 200,28.977,386,71.5,19.6201,82,8565,2304,9256,0
w=1200_h=1200_n=3.000000_I=500_N=10500,613.98 / 500,173.323,688.5,26.52,3.67695,26,3999,869,3691,5
