RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler
Runs for each image = 200
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
LePoint1,48,86.55,6.47512,90,75.23,131.332,27,0.5,126.926,120,9223,3233,8203,3.09553,0.839537,2.74398,74,4.92999,0,0,0
LePoint2,56,66.8,3.68072,68,146.35,84.2071,82,0.505,93.852,82,7728,1518,7811,1.50657,0.612139,1.37723,50,3.61024,0,0,0
LePoint3,19,38.47,0.566307,39,156.54,141.327,111,0.315,52.8109,52,5248,1747,5226,2.58607,0.0738308,2.59673,37,2.67266,0,0,0
CapitalRegion,33,35.97,9.44165,32,2381.66,2428.82,1778,0.405,65.8725,61,46239,41932,34208,9.75183,12.8962,4.94631,19,70.168,0,0,0
