adam,27,0,83.75,55.9729,2181,929,0
Brussels,430.967,0.258199,34.5333,4.9213,4436,620,0
LePoint1,117,0,37.8667,5.40705,2101,327,0
boat,77,0,43.65,1.11728,1945,331,0
CapitalRegion,74,0,105.25,59.2829,3343,1295,0
LePoint2,91,0,31.05,5.89865,2017,436,0
BostonLib,58,0,729,91.4028,15964,2116,0
city,25,0,28.0167,0.224867,1208,202,0
LePoint3,43,0,30.9,1.52604,1305,100,0
Boston,316,0,33,1.24873,3493,469,0
Eiffel,85.7333,0.685607,473.65,118.925,11684,2752,0
WhiteBoard,182,0,32.1,0.729523,2440,253,0
BruggeSquare,29,0,126.967,83.822,3033,1702,0
ExtremeZoom,13.2333,5.79119,4338.58,2718.89,62938,39542,2
BruggeTower,59,0,35.4667,2.81321,1528,131,0
graf,215,0,31.5,4.52301,2798,489,0
