adam,27,0,713.02,31.0718,8867,418,0
Brussels,422.63,5.07849,47.31,39.4356,2604,1398,0
LePoint1,56.47,31.0833,10.1,3.7457,441,156,40
boat,63.94,21.4918,63.32,13.5482,1548,294,20
CapitalRegion,29.48,17.3056,47.13,34.6284,1103,625,73
LePoint2,47.6,27.0566,72.29,35.7399,1471,633,42
BostonLib,57.56,4.4,28.83,12.9732,912,284,1
city,22.11,6.41792,205.67,34.0437,2763,426,17
LePoint3,40.09,0.287623,30.33,7.49013,650,105,0
Boston,316,0,15.28,8.60242,905,301,0
Eiffel,83.72,3.67101,16.25,7.23959,755,181,0
WhiteBoard,182,0,11.45,3.23608,805,105,0
BruggeSquare,16.58,3.24482,124.02,74.307,2010,1258,0
ExtremeZoom,11,0,3809,0,53961,1443,0
BruggeTower,52.86,4.14637,25.29,5.5837,619,100,1
graf,206.79,37.7197,11.67,2.84287,686,140,4
