RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.99
Standard LO = 1
Graph Cut LO = 1
SPRT = 1


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg time (mcs),Std dev time,Med time,Num fails
adam,26 / 26,0,26,459.53,49.5606,469,9737,699,9729,0
Brussels,385.63 / 237,1.10696,386,173.03,31.4133,167,20302,1692,20058,0
LePoint1,91.38 / 48,2.02898,92,174.57,18.8595,172,10593,1120,10454,0
boat,64 / 57,0,64,146,0,146,7462,267,7375,0
CapitalRegion,49.78 / 33,1.63039,50,1013.43,526.889,740,20772,7467,16883,0
LePoint2,68.79 / 56,0.924361,69,237.94,10.0028,234,8754,750,8462,0
BostonLib,57 / 55,0,57,1599.91,355.689,1665,27039,5159,27079,0
city,25 / 25,0,25,122.06,0.238683,122,5423,416,5295,0
LePoint3,39.94 / 19,0.277798,40,154.12,5.79843,154,6312,339,6231,0
Boston,316 / 308,0,316,146.3,11.5972,150,14486,987,14657,0
Eiffel,76.93 / 76,0.934793,77,334.67,17.127,339,12433,1053,12125,0
WhiteBoard,177 / 144,0,177,140,12.5529,144,10461,822,10606,0
BruggeSquare,23.98 / 16,0.2,24,706.53,164.972,552,12889,2053,11630,0
ExtremeZoom,8.47 / 12,0.658357,9,5925.74,1604.82,5536,76796,21004,71896,0
BruggeTower,52.87 / 37,1.23628,53,185.6,15.9399,178,9162,1259,8587,0
graf,206.25 / 200,0.457817,206,168.94,15.4768,165,12966,812,13145,0
