RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 3
Desired probability for each image = 0.99
Standard LO = 0
Graph Cut LO = 0
SPRT = 0


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg time (mcs),Std dev time,Med time,Num fails
adam,27 / 27,0,27,429,0,429,7484,2115,6805,0
Brussels,417.48 / 370,8.68353,411,364.4,176.083,233,15251,7586,10515,0
LePoint1,87 / 70,0,87,93,0,93,2785,796,2864,0
boat,74.62 / 68,7.47087,75,1362.7,654.035,1661,23216,11436,27607,2
CapitalRegion,51.4 / 64,11.0454,45,2255.38,1032.82,2306,40510,18708,40674,0
LePoint2,90 / 82,0,90,166,0,166,2936,56,2929,0
BostonLib,56.5 / 58,6.57129,58,5482.77,3631.59,3674,110635,73214,73657,5
city,25 / 25,0,25,4,0,4,147,12,144,0
LePoint3,40 / 35,0,40,199,0,199,2993,78,2976,0
Boston,316 / 316,0,316,260,0,260,8153,567,8089,0
Eiffel,79.9 / 76,4.94311,84,1245.55,339.115,1190,25678,6837,24181,0
WhiteBoard,182 / 178,0,182,309.12,24.1616,320,7097,627,7162,0
BruggeSquare,24 / 23,0,24,177,0,177,2681,161,2642,0
ExtremeZoom,10.32 / 14,1.3698,11,5111.11,1678.36,3809,77632,26817,62362,0
BruggeTower,58 / 55,0,58,47,0,47,1034,89,1003,0
graf,214 / 207,0,214,173,0,173,4355,385,4228,0
