adam,26.06,757.98,0.61,11873,433.19,0
Brussels,385.81,50.72,1.4,25380,24285.3,0
LePoint1,91.17,13.12,1.6,11960,667.929,0
boat,64,14.21,1.2,8741,3990.8,0
CapitalRegion,48.11,110.1,1.2,11459,12507.5,2
LePoint2,69.15,26.92,1.2,8191,177.774,0
BostonLib,57,14.79,1.4,9596,106495,0
city,25,64.69,1.2,6178,199.917,0
LePoint3,35.58,27.4,1.4,6155,721.611,0
Boston,316,2.38,1.2,17154,11529.6,0
Eiffel,76.75,4.99,1.4,11525,14091.4,0
WhiteBoard,177,16.26,1.4,12241,17238.5,0
BruggeSquare,22.02,192.19,1.2,6612,6635.17,0
ExtremeZoom,9.76,475.6,0.01,4176,23650.1,0
BruggeTower,52.77,6.59,1.8,8227,7353.03,0
graf,206.19,14.81,1.55,14607,1025.79,0
