adam,27,0,65.2833,42.9028,1738,611,0
Brussels,431,0,87.0333,57.7114,5155,821,0
LePoint1,117,0,29.8167,5.76809,1989,271,0
boat,77,0,30.0167,5.53109,1689,228,0
CapitalRegion,74,0,103.533,111.214,3048,1635,0
LePoint2,91,0,30.8833,6.70464,1867,313,0
BostonLib,58,0,545.733,362.112,8693,4869,0
city,25,0,26.75,1.00212,1148,40,0
LePoint3,43,0,28.5667,3.23836,1323,100,0
Boston,316,0,36.6667,11.9557,3512,280,0
Eiffel,85.95,0.286711,107.6,44.0551,3097,689,0
WhiteBoard,182,0,31.7667,6.74566,2461,254,0
BruggeSquare,28.5833,3.22748,70.0333,40.4353,1879,523,1
ExtremeZoom,11.8833,5.76986,2236.72,1631.48,29839,20772,7
BruggeTower,59,0,31.6167,5.31417,1498,124,0
graf,215,0,30.45,4.55261,2708,254,0
