RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 3
Desired probability for each image = 0.99
Standard LO = 1
Graph Cut LO = 0
SPRT = 0


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg time (mcs),Std dev time,Med time,Num fails
adam,27 / 27,0,27,123.45,91.6909,90.5,2537,1294,2104,0
Brussels,431 / 370,0,431,34.52,5.30386,32,4768,642,4484,0
LePoint1,117 / 70,0,117,36.95,3.4064,37,2389,436,2190,0
boat,77 / 68,0,77,44.37,3.03067,44,2022,312,1914,0
CapitalRegion,74 / 64,0,74,112.76,70.7979,77.5,3321,1603,2641,0
LePoint2,91 / 82,0,91,32.59,6.92251,31,1676,132,1642,0
BostonLib,58 / 58,0,58,739.55,169.141,700,17033,3729,15462,0
city,25 / 25,0,25,27.98,0.550115,28,1194,27,1193,0
LePoint3,43 / 35,0,43,32.05,2.76111,31,1407,64,1376,0
Boston,316 / 316,0,316,32.77,3.10378,33,3745,687,3518,0
Eiffel,85.78 / 76,0.690191,86,493.01,98.0563,531,12328,2351,12571,0
WhiteBoard,182 / 178,0,182,32.27,1.41318,32,2723,492,2471,0
BruggeSquare,29 / 23,0,29,129.34,50.497,114,3092,1051,2638,0
ExtremeZoom,12.67 / 14,6.10192,11,4962.39,2809.56,4376,81541,46980,71209,6
BruggeTower,59 / 55,0,59,35.37,2.31663,35,1678,127,1648,0
graf,215 / 207,0,215,31.23,3.40485,31,2801,265,2722,0
