RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 3
Desired probability for each image = 0.99
Standard LO = 0
Graph Cut LO = 0
SPRT = 0


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg time (mcs),Std dev time,Med time,Num fails
adam,27 / 27,0,27,712.7,31.8448,699,8812,476,8681,0
Brussels,423.37 / 370,5.06454,425,49.41,49.9733,33,2635,1722,2025,0
LePoint1,41.43 / 70,32.2591,33,10.53,4.61542,10,425,152,360,56
boat,63.03 / 68,22.0607,75,62.07,10.6185,62,1517,246,1595,22
CapitalRegion,28.48 / 64,16.919,20,51.41,38.9818,39.5,1190,696,1002,74
LePoint2,52.61 / 82,25.7442,66,73.44,40.6101,56,1622,877,1265,33
BostonLib,58 / 58,0,58,31.14,15.4443,27.5,926,324,863,0
city,20.75 / 25,7.3983,25,212.71,36.971,202.5,2832,466,2873,25
LePoint3,40.06 / 35,0.238683,40,30.22,7.7206,25.5,651,113,623,0
Boston,316 / 316,0,316,15.78,8.30551,12,932,270,880,0
Eiffel,83.62 / 76,3.35683,84,17.09,8.26713,15,796,217,732,0
WhiteBoard,182 / 178,0,182,11.8,3.97213,12,805,112,797,0
BruggeSquare,16.55 / 23,3.33144,16,115.72,66.229,95,1734,931,1433,0
ExtremeZoom,11 / 14,0,11,3809,0,3809,53251,483,53142,0
BruggeTower,51.95 / 55,9.1114,52,25.95,5.61091,25,635,102,606,3
graf,198.88 / 207,52.6945,214,12.53,2.90056,13,692,138,714,8
