adam,22.04,749.02,0,9923,444.355,0
Brussels,377.71,97.43,0,2085,24285.5,0
LePoint1,50.67,22.5,0,622,5116.76,25
boat,24.67,68.94,0,863,5496.5,87
CapitalRegion,19.82,593.24,0,5058,15033.7,13
LePoint2,27.41,72.75,0,1031,7903.29,76
BostonLib,53.07,123.24,0,1469,104911,9
city,24.36,172.1,0,2715,229.187,4
LePoint3,16.84,42.63,0,718,2927.85,0
Boston,313.63,25.26,0,989,11625.8,1
Eiffel,67.66,35.64,0,784,14207.5,4
WhiteBoard,144.91,26.99,0,632,17432.7,0
BruggeSquare,14.81,228.51,0,2256,6617.05,0
ExtremeZoom,9.68,449.53,0,3852,23484.2,0
BruggeTower,44.04,34.39,0,660,7315.81,0
graf,166.55,40.92,0,912,23761.8,20
