booksh,10,3,0.03,272,2.0951,0
box,10,4,0.02,260,0,0
castle,12,3,0.02,233,1.42513,0
corr,13,3,0.02,233,0,0
graff,10,1,0.01,169,0,0
head,14,3,0.02,256,0,0
kampa,11,4,0.02,262,6.08515,0
Kyoto,10,1,0.02,205,0,0
leafs,10,9,0.02,283,27.0432,0
plant,8,4,0.02,230,13.2629,0
rotunda,10,4,0.02,264,0,0
shout,11,1,0.01,159,4.14803,0
valbonne,10,8,0.02,282,0,0
wall,13,4,0.02,254,3.03297,0
wash,9,1,0.02,209,0,0
zoom,13,1,0.02,248,0,0
