RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 3
Desired probability for each image = 0.95
Standard LO = 1
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails
booksh,0,9,0,9,4,0,4,0.11,30.2016,26,1312,341,1237,0,0,0,9,0,0
box,0,10,0,10,4,0,4,0.34,26.7649,24.5,1314,297,1252,0,0,0,10,0,0
castle,0,12,0,12,1,0,1,0.16,24.4725,21,1207,392,1159,0,0,0,12,0,0
corr,0,13,0,13,3,0,3,0.61,72.7737,71,2214,447,2122,0,0,0,13,0,0
graff,0,10,0,10,1,0,1,0.26,39.3823,36,1414,208,1393,0,0,0,10,0,0
head,0,14,0,14,1,0,1,0.51,68.2294,68.5,2169,432,2146,0,0,0,14,0,0
kampa,0,11,0,11,4,0,4,0.04,4.90681,4,758,53,744,0,0,0,11,0,0
Kyoto,0,10,0,10,1,0,1,0.22,23.0137,21,1024,179,1017,0,0,0,10,0,0
leafs,0,10,0,10,3,0,3,0.07,7.94565,7,1422,191,1359,0,0,0,10,0,0
plant,0,8,0,8,4,0,4,0.06,4.63692,5,830,125,790,0,0,0,8,0,0
rotunda,0,10,0,10,6,0,6,0.36,24.6006,21,1139,293,1143,0,0,0,10,0,0
shout,0,10,0,10,4,0,4,0.38,30.3668,29,1356,340,1271,0,0,0,10,0,0
valbonne,0,7,0,7,13,0,13,0.22,19.8259,18,1651,308,1594,0,0,0,7,0,0
wall,0,11,0,11,5,0,5,0.12,7.26986,7,1419,209,1372,0,0,0,11,0,0
wash,0,9,0,9,3,0,3,0.06,5.49362,6,814,190,742,0,0,0,9,0,0
zoom,0,13,0,13,1,0,1,0.11,9.67843,2,753,167,684,0,0,0,13,0,0
