RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 3
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 0
SPRT = 1


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails
booksh,10 / 10,0,10,3,0,3,0,0,0,81,6,80,0.869204,2.99525e-07,0.869205,10,0.869205,0
box,8 / 0,0,8,16,0,16,0,0,0,206,13,202,0,0,0,8,0,0
castle,12 / 12,0,12,3,0,3,0,0,0,91,12,87,1.42513,4.79239e-07,1.42513,12,1.42513,0
corr,13 / 0,0,13,1,0,1,0,0,0,76,8,74,0,0,0,13,0,0
graff,10 / 0,0,10,1,0,1,0,0,0,70,7,68,0,0,0,10,0,0
head,14 / 0,0,14,3,0,3,0,0,0,74,9,72,0,0,0,14,0,0
kampa,12 / 12,0,12,8,0,8,0,0,0,127,10,124,6.24009,4.79239e-07,6.24009,12,6.24009,0
Kyoto,8 / 0,0,8,12,0,12,0,0,0,150,10,147,0,0,0,8,0,0
leafs,11 / 9,0,11,7,0,7,0,0,0,143,27,127,6.6072,1.91696e-06,6.6072,11,6.6072,0
plant,8 / 10,0,8,12,0,12,0,0,0,172,26,160,220.989,3.06713e-05,220.989,8,220.989,0
rotunda,10 / 0,0,10,9,0,9,0,0,0,156,28,143,0,0,0,10,0,0
shout,11 / 10,0,11,1,0,1,0,0,0,46,5,44,4.14803,5.27163e-06,4.14803,11,4.14803,0
valbonne,9 / 0,0,9,12,0,12,0,0,0,198,29,184,0,0,0,9,0,0
wall,13 / 12,0,13,3,0,3,0,0,0,75,18,67,2.90368,2.63582e-06,2.90368,13,2.90368,0
wash,7 / 0,0,7,17,0,17,0,0,0,212,31,200,0,0,0,7,0,0
zoom,13 / 0,0,13,38,0,38,0,0,0,487,44,475,0,0,0,13,0,0
